run_id,seed,arm,step,epoch,layer_name,stage,density,n_pruned,n_regrown,n_weights,n_live,live_budget_share
oneshot_prune_seed0,0,oneshot_prune,1500,6,stage4.conv1,4,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,1500,6,stage5.conv0,5,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,1500,6,stage5.conv1,5,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,1750,7,stage0.conv1,0,1.0,0,0,27648,27648,0.0019723865877712033
oneshot_prune_seed0,0,oneshot_prune,1750,7,stage1.conv0,1,1.0,0,0,55296,55296,0.0039447731755424065
oneshot_prune_seed0,0,oneshot_prune,1750,7,stage1.conv1,1,1.0,0,0,110592,110592,0.007889546351084813
oneshot_prune_seed0,0,oneshot_prune,1750,7,stage2.conv0,2,1.0,0,0,221184,221184,0.015779092702169626
oneshot_prune_seed0,0,oneshot_prune,1750,7,stage2.conv1,2,1.0,0,0,442368,442368,0.03155818540433925
oneshot_prune_seed0,0,oneshot_prune,1750,7,stage3.conv0,3,1.0,0,0,884736,884736,0.0631163708086785
oneshot_prune_seed0,0,oneshot_prune,1750,7,stage3.conv1,3,1.0,0,0,1769472,1769472,0.126232741617357
oneshot_prune_seed0,0,oneshot_prune,1750,7,stage4.conv0,4,1.0,0,0,2211840,2211840,0.15779092702169625
oneshot_prune_seed0,0,oneshot_prune,1750,7,stage4.conv1,4,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,1750,7,stage5.conv0,5,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,1750,7,stage5.conv1,5,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,2000,8,stage0.conv1,0,1.0,0,0,27648,27648,0.0019723865877712033
oneshot_prune_seed0,0,oneshot_prune,2000,8,stage1.conv0,1,1.0,0,0,55296,55296,0.0039447731755424065
oneshot_prune_seed0,0,oneshot_prune,2000,8,stage1.conv1,1,1.0,0,0,110592,110592,0.007889546351084813
oneshot_prune_seed0,0,oneshot_prune,2000,8,stage2.conv0,2,1.0,0,0,221184,221184,0.015779092702169626
oneshot_prune_seed0,0,oneshot_prune,2000,8,stage2.conv1,2,1.0,0,0,442368,442368,0.03155818540433925
oneshot_prune_seed0,0,oneshot_prune,2000,8,stage3.conv0,3,1.0,0,0,884736,884736,0.0631163708086785
oneshot_prune_seed0,0,oneshot_prune,2000,8,stage3.conv1,3,1.0,0,0,1769472,1769472,0.126232741617357
oneshot_prune_seed0,0,oneshot_prune,2000,8,stage4.conv0,4,1.0,0,0,2211840,2211840,0.15779092702169625
oneshot_prune_seed0,0,oneshot_prune,2000,8,stage4.conv1,4,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,2000,8,stage5.conv0,5,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,2000,8,stage5.conv1,5,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,2250,9,stage0.conv1,0,1.0,0,0,27648,27648,0.0019723865877712033
oneshot_prune_seed0,0,oneshot_prune,2250,9,stage1.conv0,1,1.0,0,0,55296,55296,0.0039447731755424065
oneshot_prune_seed0,0,oneshot_prune,2250,9,stage1.conv1,1,1.0,0,0,110592,110592,0.007889546351084813
oneshot_prune_seed0,0,oneshot_prune,2250,9,stage2.conv0,2,1.0,0,0,221184,221184,0.015779092702169626
oneshot_prune_seed0,0,oneshot_prune,2250,9,stage2.conv1,2,1.0,0,0,442368,442368,0.03155818540433925
oneshot_prune_seed0,0,oneshot_prune,2250,9,stage3.conv0,3,1.0,0,0,884736,884736,0.0631163708086785
oneshot_prune_seed0,0,oneshot_prune,2250,9,stage3.conv1,3,1.0,0,0,1769472,1769472,0.126232741617357
oneshot_prune_seed0,0,oneshot_prune,2250,9,stage4.conv0,4,1.0,0,0,2211840,2211840,0.15779092702169625
oneshot_prune_seed0,0,oneshot_prune,2250,9,stage4.conv1,4,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,2250,9,stage5.conv0,5,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,2250,9,stage5.conv1,5,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,2500,10,stage0.conv1,0,1.0,0,0,27648,27648,0.0019723865877712033
oneshot_prune_seed0,0,oneshot_prune,2500,10,stage1.conv0,1,1.0,0,0,55296,55296,0.0039447731755424065
oneshot_prune_seed0,0,oneshot_prune,2500,10,stage1.conv1,1,1.0,0,0,110592,110592,0.007889546351084813
oneshot_prune_seed0,0,oneshot_prune,2500,10,stage2.conv0,2,1.0,0,0,221184,221184,0.015779092702169626
oneshot_prune_seed0,0,oneshot_prune,2500,10,stage2.conv1,2,1.0,0,0,442368,442368,0.03155818540433925
oneshot_prune_seed0,0,oneshot_prune,2500,10,stage3.conv0,3,1.0,0,0,884736,884736,0.0631163708086785
oneshot_prune_seed0,0,oneshot_prune,2500,10,stage3.conv1,3,1.0,0,0,1769472,1769472,0.126232741617357
oneshot_prune_seed0,0,oneshot_prune,2500,10,stage4.conv0,4,1.0,0,0,2211840,2211840,0.15779092702169625
oneshot_prune_seed0,0,oneshot_prune,2500,10,stage4.conv1,4,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,2500,10,stage5.conv0,5,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,2500,10,stage5.conv1,5,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,2750,11,stage0.conv1,0,1.0,0,0,27648,27648,0.0019723865877712033
oneshot_prune_seed0,0,oneshot_prune,2750,11,stage1.conv0,1,1.0,0,0,55296,55296,0.0039447731755424065
oneshot_prune_seed0,0,oneshot_prune,2750,11,stage1.conv1,1,1.0,0,0,110592,110592,0.007889546351084813
oneshot_prune_seed0,0,oneshot_prune,2750,11,stage2.conv0,2,1.0,0,0,221184,221184,0.015779092702169626
oneshot_prune_seed0,0,oneshot_prune,2750,11,stage2.conv1,2,1.0,0,0,442368,442368,0.03155818540433925
oneshot_prune_seed0,0,oneshot_prune,2750,11,stage3.conv0,3,1.0,0,0,884736,884736,0.0631163708086785
oneshot_prune_seed0,0,oneshot_prune,2750,11,stage3.conv1,3,1.0,0,0,1769472,1769472,0.126232741617357
oneshot_prune_seed0,0,oneshot_prune,2750,11,stage4.conv0,4,1.0,0,0,2211840,2211840,0.15779092702169625
oneshot_prune_seed0,0,oneshot_prune,2750,11,stage4.conv1,4,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,2750,11,stage5.conv0,5,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,2750,11,stage5.conv1,5,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,3000,12,stage0.conv1,0,1.0,0,0,27648,27648,0.0019723865877712033
oneshot_prune_seed0,0,oneshot_prune,3000,12,stage1.conv0,1,1.0,0,0,55296,55296,0.0039447731755424065
oneshot_prune_seed0,0,oneshot_prune,3000,12,stage1.conv1,1,1.0,0,0,110592,110592,0.007889546351084813
oneshot_prune_seed0,0,oneshot_prune,3000,12,stage2.conv0,2,1.0,0,0,221184,221184,0.015779092702169626
oneshot_prune_seed0,0,oneshot_prune,3000,12,stage2.conv1,2,1.0,0,0,442368,442368,0.03155818540433925
oneshot_prune_seed0,0,oneshot_prune,3000,12,stage3.conv0,3,1.0,0,0,884736,884736,0.0631163708086785
oneshot_prune_seed0,0,oneshot_prune,3000,12,stage3.conv1,3,1.0,0,0,1769472,1769472,0.126232741617357
oneshot_prune_seed0,0,oneshot_prune,3000,12,stage4.conv0,4,1.0,0,0,2211840,2211840,0.15779092702169625
oneshot_prune_seed0,0,oneshot_prune,3000,12,stage4.conv1,4,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,3000,12,stage5.conv0,5,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,3000,12,stage5.conv1,5,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,3250,13,stage0.conv1,0,1.0,0,0,27648,27648,0.0019723865877712033
oneshot_prune_seed0,0,oneshot_prune,3250,13,stage1.conv0,1,1.0,0,0,55296,55296,0.0039447731755424065
oneshot_prune_seed0,0,oneshot_prune,3250,13,stage1.conv1,1,1.0,0,0,110592,110592,0.007889546351084813
oneshot_prune_seed0,0,oneshot_prune,3250,13,stage2.conv0,2,1.0,0,0,221184,221184,0.015779092702169626
oneshot_prune_seed0,0,oneshot_prune,3250,13,stage2.conv1,2,1.0,0,0,442368,442368,0.03155818540433925
oneshot_prune_seed0,0,oneshot_prune,3250,13,stage3.conv0,3,1.0,0,0,884736,884736,0.0631163708086785
oneshot_prune_seed0,0,oneshot_prune,3250,13,stage3.conv1,3,1.0,0,0,1769472,1769472,0.126232741617357
oneshot_prune_seed0,0,oneshot_prune,3250,13,stage4.conv0,4,1.0,0,0,2211840,2211840,0.15779092702169625
oneshot_prune_seed0,0,oneshot_prune,3250,13,stage4.conv1,4,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,3250,13,stage5.conv0,5,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,3250,13,stage5.conv1,5,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,3500,14,stage0.conv1,0,1.0,0,0,27648,27648,0.0019723865877712033
oneshot_prune_seed0,0,oneshot_prune,3500,14,stage1.conv0,1,1.0,0,0,55296,55296,0.0039447731755424065
oneshot_prune_seed0,0,oneshot_prune,3500,14,stage1.conv1,1,1.0,0,0,110592,110592,0.007889546351084813
oneshot_prune_seed0,0,oneshot_prune,3500,14,stage2.conv0,2,1.0,0,0,221184,221184,0.015779092702169626
oneshot_prune_seed0,0,oneshot_prune,3500,14,stage2.conv1,2,1.0,0,0,442368,442368,0.03155818540433925
oneshot_prune_seed0,0,oneshot_prune,3500,14,stage3.conv0,3,1.0,0,0,884736,884736,0.0631163708086785
oneshot_prune_seed0,0,oneshot_prune,3500,14,stage3.conv1,3,1.0,0,0,1769472,1769472,0.126232741617357
oneshot_prune_seed0,0,oneshot_prune,3500,14,stage4.conv0,4,1.0,0,0,2211840,2211840,0.15779092702169625
oneshot_prune_seed0,0,oneshot_prune,3500,14,stage4.conv1,4,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,3500,14,stage5.conv0,5,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,3500,14,stage5.conv1,5,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,3750,15,stage0.conv1,0,1.0,0,0,27648,27648,0.0019723865877712033
oneshot_prune_seed0,0,oneshot_prune,3750,15,stage1.conv0,1,1.0,0,0,55296,55296,0.0039447731755424065
oneshot_prune_seed0,0,oneshot_prune,3750,15,stage1.conv1,1,1.0,0,0,110592,110592,0.007889546351084813
oneshot_prune_seed0,0,oneshot_prune,3750,15,stage2.conv0,2,1.0,0,0,221184,221184,0.015779092702169626
oneshot_prune_seed0,0,oneshot_prune,3750,15,stage2.conv1,2,1.0,0,0,442368,442368,0.03155818540433925
oneshot_prune_seed0,0,oneshot_prune,3750,15,stage3.conv0,3,1.0,0,0,884736,884736,0.0631163708086785
oneshot_prune_seed0,0,oneshot_prune,3750,15,stage3.conv1,3,1.0,0,0,1769472,1769472,0.126232741617357
oneshot_prune_seed0,0,oneshot_prune,3750,15,stage4.conv0,4,1.0,0,0,2211840,2211840,0.15779092702169625
oneshot_prune_seed0,0,oneshot_prune,3750,15,stage4.conv1,4,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,3750,15,stage5.conv0,5,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,3750,15,stage5.conv1,5,1.0,0,0,2764800,2764800,0.19723865877712032
oneshot_prune_seed0,0,oneshot_prune,4000,16,stage0.conv1,0,1.0,0,0,27648,27648,0.0019723865877712033
oneshot_prune_seed0,0,oneshot_prune,4000,16,stage1.conv0,1,1.0,0,0,55296,55296,0.0039447731755424065
